Complexity,Loss,Equation
1,6.2726707,"2.8841553"
3,5.986918,"x9 + 2.608429"
5,5.596453,"x9 + (x0 + 2.28685)"
7,5.398996,"((x0 + x9) + 0.9152838) * 1.9062711"
9,5.370672,"((x9 + (x0 + 0.76565707)) * 1.9130982) + x11"
11,5.193761,"((x1 * x11) + 1.8040692) * ((x0 + 0.90117764) + x9)"
13,5.05568,"((x10 + 1.6286548) * (((x1 * x11) + x9) + x0)) + 1.5557256"
15,4.9524355,"(x10 + 1.4941132) * (((x9 + x11) * x1) + ((x0 + x9) + 0.80245227))"
17,4.818741,"((x9 + (((x11 + x9) * x1) + 1.1116172)) + x0) * ((x2 * x10) + 1.3878549)"
