Complexity,Loss,Equation
79,3.1151445,"(((((x0 * (x1 + (x0 * -0.6810446))) + (x1 + x6)) * -1.1324568) + ((((x5 + ((x8 * -0.84563345) * (x4 + x8))) + ((x1 + ((x3 + ((((x8 * -0.7943947) + (x7 * -1.3380922)) + (x6 + -0.031096132)) + x1)) * -0.6014296)) * x6)) + (x6 * 1.0276041)) + ((x1 + 3.0730867) + x1))) + -0.29251426) + ((((x5 + x1) + (((x0 * 1.6766154) + (x1 + x1)) * ((x2 + 0.11070265) * 0.8384286))) * -0.90591973) + 0.8425959)"
87,3.0861137,"x1 + (((x1 + ((x0 * ((((x0 * -2.010238) + (x1 + x3)) * 0.2764048) + x1)) + x6)) * -1.1182847) + ((((((x1 + ((((((x7 * -1.9024154) + x3) + (((x8 + 1.1577126) * -1.137296) + 1.1595541)) * 0.6365894) + ((x1 * 1.0635326) + (x6 + 0.4608303))) * -0.66424304)) + 0.24404214) * x6) + x5) + x6) + (((x4 + x8) * (x8 * -0.7790139)) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.7156934)) * (x2 * 0.77945566)) + x5)) * -1.0036666) + 3.6703799)))))"
93,3.0789032,"(((x1 + (((x1 + (x0 * (((((x0 * -1.9470869) + x3) + x1) * 0.28057438) + x1))) + x6) * -1.0749642)) + (((x4 + x8) * (x8 * -0.81001204)) + ((((x6 * 0.46863142) + x1) + ((((x1 + (x3 + ((x7 * -1.9322078) + (((x8 + 1.2623714) * -1.2816044) + 1.0773506)))) * 0.38054112) + ((x1 * 0.29355112) + (x6 + 0.24625236))) * -1.0943681)) * x6))) + (x5 + x6)) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.6849152)) * ((x2 + 0.036117014) * 0.8047811)) + x5)) * -0.9945982) + 3.6772823))"
95,3.0586534,"((x1 + ((x1 + ((x0 * (x1 + (((x0 * -2.020174) + ((x3 + x1) + x6)) * 0.31305745))) + x6)) * -1.0259242)) + ((((x4 + x8) * x8) * -0.8192725) + (((x1 + (((((x1 + x3) + (((x7 * -1.8400223) + 1.0397973) + ((x8 + 1.3055589) * -0.9554863))) * 0.42511684) + ((x1 * 0.25284487) + (x6 + 0.1523222))) * -1.0912791)) + (x6 * 0.4558317)) * x6))) + ((x5 + x6) + (x1 + (((x1 + ((((x1 + x1) + (x0 * 1.7689731)) * ((x2 + 0.08790124) * 0.80998)) + x5)) * -0.97989774) + 3.6145978)))"
115,3.0359862,"((((((x1 + ((x0 * (((((x6 + -0.3656262) * -0.21297371) + (x0 * x1)) + -0.5191268) * x0)) + x6)) + (((x6 + (((((x1 * x5) + -0.6880021) * x6) + x4) + 0.23602258)) * ((x8 + (x4 + x8)) + -0.071964785)) * ((x0 * (x0 + x6)) * -0.282832))) * -1.2477143) + ((x8 * (x4 + x8)) * -1.0254967)) + (x6 + ((((((x6 + x0) * x6) * 1.0325198) + ((((x7 * -0.77641517) + x3) + 1.2341677) * (x6 * 1.112767))) * -0.58316743) + x5))) + (((x1 + (x6 + ((((((x1 + x1) + (x0 * 1.6835538)) * (x2 * 0.89294255)) + x1) + (x5 + 0.17562726)) * -0.9015405))) + 4.099955) + x1)) + -0.34043807"
117,2.9940484,"((((x1 + ((x0 * ((((x4 * x0) * -0.47726178) + (((((x6 + -0.34077266) * -0.36937648) + x1) * x0) + -0.6064277)) * x0)) + (x6 + ((((x6 + (((x5 * x1) + -0.7238604) * x6)) + (x4 + 0.11275298)) * (((x8 + x4) + x8) + -0.13740748)) * ((x0 * (x0 + x6)) * -0.33104518))))) * -1.15323) + (((x8 * (x4 + x8)) * -1.008684) + ((x6 + ((((x6 + x0) * (x6 * 1.0775657)) + ((((x7 * -0.7589304) + x3) + 1.1424749) * (x6 * 0.9816592))) * -0.72417945)) + x5))) + (x1 + ((x6 + (((x1 + (((x1 + x1) + (x0 * 1.5437889)) * x2)) + (x5 + 0.26285058)) * -0.9327625)) + 4.004623))) + x1"
119,2.9589972,"((((x1 + ((x0 * ((((x4 * x0) * -0.47726178) + (((((x6 + -0.34077266) * -0.36937648) + x1) * x0) + -0.6064277)) * x0)) + (x6 + ((((x6 + (((x5 * x1) + -0.7238604) * x6)) + (x4 + 0.11275298)) * (((x8 + x4) + x8) + -0.13740748)) * ((x0 * (x0 + x6)) * -0.33104518))))) * -1.15323) + (((x8 * (x4 + x8)) * -1.008684) + ((x6 + ((((x6 + x0) * (x6 * 1.0775657)) + ((((x7 * -0.7589304) + x3) + 1.1424749) * (x6 * 0.9816592))) * -0.72417945)) + x5))) + (x1 + ((x6 + (((x1 + (((x1 + x1) + (x0 * 1.5437889)) * (x2 * 0.85325))) + (x5 + 0.26285058)) * -0.9327625)) + 4.004623))) + x1"
131,2.878756,"x1 + ((x1 + ((((((x1 + ((((((((x5 * x1) + -0.24725643) * x6) + (x4 + 0.0681711)) + x6) * (x8 + (x4 + x1))) + 0.39620054) * ((x0 * (x6 + x0)) * -0.36985835))) + (((x0 * (((((((x8 + (x6 + ((x8 + x0) * ((x4 + x4) + x4)))) * x0) * -0.2775556) + x1) + ((x6 + -0.0774034) * 0.24113314)) * x0) + -0.6880953)) * (x0 * 1.0694687)) + x6)) * -1.1269785) + ((x8 * (x4 + x8)) * -1.1370286)) + ((x6 * (((x6 + ((((x6 * 0.95634043) + (x6 * 0.35927388)) + (x7 * -1.0771595)) + 0.18576239)) * -0.666002) + x6)) + x5)) + (x6 + (((x1 + (((x1 + x1) + (x0 * 1.4557017)) * (x2 * 0.8225771))) + (x5 + 0.259428)) * -0.9647002)))) + 3.958891)"
133,2.8734732,"(x1 + (x1 + (((((x1 + (((((((((x5 * x1) + -0.26757932) * x6) + (x4 + 0.11463019)) + x6) * ((x8 + x4) + x1)) + 0.39073202) * x0) * ((x6 + x0) * -0.37731624))) + (((x0 * (((((x8 + (x6 + ((x8 + x0) * (x4 + (x4 + x4))))) * (x0 * -0.2816129)) + (x1 + ((x6 + -0.062100027) * 0.23777294))) * x0) + -0.6817068)) * (x0 * 1.0602864)) + x6)) * -1.1337621) + ((((x8 * (x4 + x8)) * -1.1337538) + (x6 * (x6 + ((x6 + ((x6 * 0.95785433) + ((x6 * 0.3607877) + ((x7 * -1.0606898) + 0.17655143)))) * -0.6660241)))) + x5)) + x6))) + ((((x5 + (x4 * 0.111208)) + (x1 + (((x1 + ((x0 * 1.4568282) + x1)) * x2) * 0.81239337))) * -0.98108596) + 3.6973588)"
149,2.8419743,"((((x6 * 1.3342013) + ((((x1 + ((x2 + -1.4621619) * ((x1 + (x0 * -0.0005012194)) + (x0 * 0.9070004)))) * -1.519907) + ((((((((x3 + (x6 * 2.7194371)) + x3) + (x0 + x1)) + (((x7 * -1.5241351) + 2.6120563) + (x1 + 0.95140105))) * -0.30528113) + x1) * x6) + x1)) + (x1 + 3.8997946))) + ((((x8 + x4) * (x8 * -1.3028283)) + ((x6 + ((x1 * 2.2431767) + (x0 * ((((((((x8 + (((x1 * 0.297259) + x2) * x8)) + (x3 + ((x1 + ((x1 + ((x4 + ((((x1 + 0.17714614) * -1.0244199) + (((x4 * ((x5 * -0.123854995) + x0)) * 0.40404105) + (x1 + 1.5229477))) * x8)) * -4.078713)) * (x0 * 1.4606788))) + -0.7482281))) + ((x8 * x8) * 3.4982114)) * -0.32538283) + 1.6986539) * (x4 * -0.5940274)) + x1) + 1.689303)))) * -1.2876434)) + x6)) + ((x4 * 0.02026589) + 0.6441049)) + -0.41250736"
