Complexity,Loss,Equation
94,3.399253,"((sin(cos(((cos((cos(x8) + (x0 * x3)) + ((x4 * x8) + 0.09792024)) + 1.5863518) * (((x0 * x2) + 0.88229465) * x8)) * 3.155873)) + (cos(cos(cos(x7) + cos(cos(x2) + ((x2 * x1) + 0.80775493))) + cos(((x2 * x1) + -0.88600516) * cos(cos(cos(x6))))) + (((cos(cos(sin(x0) * (x0 + (x1 + 1.9005649)))) + 0.43206596) * 2.8483298) + -2.37483))) * 1.8912067) + (cos(sin(x2 + x0)) * cos(((x2 * (x0 + x8)) + 1.4476538) * (x2 * (x0 + x8))))"
99,3.304865,"((sin(cos(((cos(sin(cos(x0))) + 2.0401402) * (cos((cos(x8) + (x0 * x2)) + ((x4 * x8) + 0.014299727)) + 1.3893764)) * (((x0 * x2) + 1.1429818) * x8))) + (cos(cos(cos(x7) + cos(cos(x2) + ((x2 * x1) + 0.7458934))) + cos(((x2 * x1) + -0.9640279) * cos(cos(cos(x6))))) + (((cos(cos(sin(x0) * (x0 + (x1 + 1.9127983)))) + 0.41572204) * 2.747442) + -2.3889208))) * 2.0921714) + (cos(sin(x2 + x0)) * cos(((x2 * (x0 + x8)) + 1.476945) * (x2 * (x0 + x8))))"
113,3.2401977,"cos((((x0 + x8) * ((cos(cos(x2)) + (((x2 * (x0 + (x2 * 0.7192749))) * ((0.9297163 + cos(cos(sin(x8) * 0.20340587))) + ((((x4 * x8) + (x0 * x2)) + cos(x8 + -0.09175587)) + 0.92570823))) + 1.7014765)) * x2)) + cos(sin(x3) * -1.8403363)) * 0.28514725) + (2.1887608 * (sin(cos(((cos(cos(x0)) + 2.162229) * ((x0 * x2) + 1.1228969)) * ((cos((x4 * x8) + cos(x8)) + 1.3847278) * x8))) + (cos(cos(cos(x7)) + (cos(cos(cos(x2))) * ((x2 * x1) + 1.3447565))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.9045923))) + 0.46523315) * 2.8237514) + -2.4413514))))"
123,3.1761048,"(2.0565498 * (sin(cos((cos(cos(sin(x0))) + 2.097637) * (((cos(cos(cos(cos(x0)))) + 0.64013046) + cos((x4 * (x8 + -0.0029762096)) + (cos(x8) + (x0 * x2)))) * (((x2 * x0) + 1.1593784) * x8)))) + (cos(cos(cos(x7) + cos(((x2 * x1) + cos(x2)) + 0.7388086)) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972) + -2.3925517)))) + cos((cos(sin(x2 + x0)) * (((x2 * (x0 + (x8 * 0.12825502))) * ((((x8 * -0.4896034) + cos(x2)) + cos(0.28441957)) + cos(x0))) + (cos(x4) + 1.505326))) * (x2 * (x0 + x8)))"
131,3.1679091,"(2.0565498 * (sin(cos(((cos(cos(sin(x0))) + 2.097637) * ((cos(cos(cos(cos(x0)))) + 0.64013046) + cos((cos(x8) + ((x0 * x2) + (x4 * x8))) + -0.0029762096))) * (((x2 * x0) + 1.1593784) * x8))) + (cos(cos(cos(x7) + cos(((x2 * x1) + cos(x2)) + 0.7388086)) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + (((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972) + -2.3925517)))) + cos(((cos(sin(x2 + x0)) * ((x2 * ((x0 + (x8 * 0.12825502)) * ((cos(0.28441957) + ((x8 * -0.4896034) + cos(x2))) + ((x8 * 0.058858242) + cos(x0 * cos(cos(-0.86574167))))))) + (cos(x4) + 1.505326))) * x2) * (x0 + x8))"
137,3.159938,"((sin(cos((cos(cos(sin(x0))) + 2.097637) * ((((x0 * x2) + 1.1593784) * x8) * ((cos(cos(cos(cos(x0)))) + 0.64013046) + cos(((x0 * x2) + (x4 * (x8 + -0.0029762096))) + cos(x8)))))) + ((cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.7388086))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.86574167))) + -2.3925517) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972))) * 2.0565498) + cos((cos(sin(cos(sin(x0 * cos((x0 + x1) + 1.8926452))) + 0.40769437)) * ((((x2 * (x0 + (x8 * 0.12825502))) * (((cos(x0 * 0.28441957) + (x8 * -0.4896034)) + cos(x2)) + cos(x8 * cos(0.058858242)))) + (cos(x4) + 1.505326)) * x2)) * (x0 + x8))"
139,3.1567166,"cos((cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + ((x8 * -0.45722434) + cos(x2))) + cos(cos(x4 + (x8 * 0.31697208))))))) * x2)) * (x0 + x8)) + ((sin(cos((cos(cos(sin(x0))) + 2.1060753) * ((((x0 * x2) + 1.1556324) * x8) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8)))))) + ((cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455))) * 2.0529058)"
140,3.1547225,"cos((cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + ((x8 * -0.45722434) + cos(x2))) + cos(x8 * cos(cos(cos(cos(x6))))))))) * x2)) * (x0 + x8)) + (((sin(cos(((cos(cos(sin(x0))) + 2.1060753) * (((x0 * x2) + 1.1556324) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8))))) + (cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979)) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455)) * 2.0529058)"
147,3.1541405,"cos((cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + ((x8 * -0.45722434) + cos(x2))) + cos(x8 * cos(cos((cos(cos(cos(x6))) + 1.156389) * (x0 + 0.09294042)))))))) * x2)) * (x0 + x8)) + ((sin(cos(((cos(cos(sin(x0))) + 2.1060753) * (((x0 * x2) + 1.1556324) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8))))) + ((cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455))) * 2.0529058)"
155,3.1539614,"cos((cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + ((x8 * -0.45722434) + cos(x2))) + cos(x8 * cos((cos(cos(cos(x6))) * ((((x2 * x1) + -0.9297543) + x6) + 1.156389)) * cos(x0 + 0.09294042))))))) * x2)) * (x0 + x8)) + (((sin(cos(((cos(cos(sin(x0))) + 2.1060753) * (((x0 * x2) + 1.1556324) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8))))) + (cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979)) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455)) * 2.0529058)"
156,3.1537921,"cos((cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + (cos(x2) + (x8 * -0.45722434))) + cos(x8 * cos((cos(cos(cos(x6))) * ((((x2 * x1) + sin(x8)) + x6) + 1.156389)) * cos(x0 + 0.09294042))))))) * x2)) * (x0 + x8)) + (((sin(cos(((cos(cos(sin(x0))) + 2.1060753) * (((x0 * x2) + 1.1556324) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8))))) + (cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979)) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455)) * 2.0529058)"
159,3.1536949,"cos((cos(sin(cos(sin(x0 * cos(x0 + (x1 + 1.883591)))) + 0.37195522)) * ((cos(x4) + (1.560212 + ((x2 * (x0 + (x8 * 0.13910905))) * ((cos(x0 * 0.29526845) + ((x8 * -0.45722434) + cos(x2))) + cos(x8 * cos((cos(cos(cos(x6))) * ((((x2 * x1) + -0.9297543) + x6) + 1.156389)) * cos(x0 + (x0 + (x1 + 1.883591))))))))) * x2)) * (x0 + x8)) + (((sin(cos(((cos(cos(sin(x0))) + 2.1060753) * (((x0 * x2) + 1.1556324) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.6418067) + cos((((x0 * x2) + (x4 * x8)) + 0.00066710275) + cos(x8))))) + (cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.77845144))) + cos(cos(cos(cos(x6))) * ((x2 * x1) + -0.9297543))) + -2.4081979)) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8962618))) + 0.36505786) * 2.8918455)) * 2.0529058)"
197,3.1300774,"cos(cos(sin(cos(x0 * sin(cos(x0 + (x1 + 1.8926452)))) + 0.40769437)) * ((((1.505326 + cos(x4)) + ((x2 * (x0 + (x8 * 0.12825502))) * (((cos(x0 * 0.28441957) + (x8 * -0.4896034)) + cos(x2)) + cos(x8 * cos(cos(((cos(cos((cos(0.67393255 * ((x2 * (x0 + (x0 + 0.12825502))) * ((cos(((x2 + x0) * ((x8 + 0.28441957) + ((x2 * -0.4896034) + -0.7070538))) + cos(x4)) + cos(x4 + 1.505326)) * (x0 + sin(x0))))) * (-0.36078152 + (x2 + x2))) + (x0 * x0)) + cos(cos((x4 + x8) * 0.31693596) + 0.9749079)) + x6) + 1.1170756) * (x0 + 0.058858242))))))) * x2) * (x0 + x8))) + ((sin(cos(((cos(cos(sin(x0))) + 2.097637) * (((x0 * x2) + 1.1593784) * x8)) * ((cos(cos(cos(cos(x0)))) + 0.64013046) + cos(((x0 * x2) + (x4 * (x8 + -0.0029762096))) + cos(x8))))) + ((cos(cos(cos(x7) + cos((x2 * x1) + (cos(x2) + 0.7388086))) + cos(cos(x6))) + -2.3925517) + ((cos(cos(sin(x0) * ((x0 + x1) + 1.8926452))) + 0.40769437) * 2.7833972))) * 2.0565498)"
