board_state,player_turn,best_move_index
 OX O  XX,O,'0356'
 OX O OXX,X,'5'
 OX O X  ,X,'7'
 OX O X X,O,'7'
 OX O XX ,O,'8'
 OX O XXO,X,'0'
 OX OO XX,X,'6'
 OX OOX X,X,'7'
 OX OOXX ,X,'38'
 OX OX   ,X,'8'
 OX OX X ,O,'8'
 OX OX XO,X,'0'
 OX OXOX ,X,'8'
 OX OXX  ,O,'78'
 OX OXX O,X,'037'
 OX OXXXO,O,'0'
 OX X    ,O,'035678'
 OX X   O,X,'356'
 OX X  O ,X,'03568'
 OX X  OX,O,'0356'
 OX X  XO,O,'6'
 OX X O  ,X,'58'
 OX X O X,O,'0357'
 OX X OOX,X,'035'
 OX X OX ,O,'03'
 OX X OXO,X,'35'
 OX XO   ,X,'068'
 OX XO  X,O,'0367'
 OX XO OX,X,'036'
 OX XO X ,O,'6'
 OX XO XO,X,'6'
 OX XOO X,X,'0'
 OX XOOX ,X,'08'
 OX XOOXX,O,'0'
 OX XX  O,O,'0367'
 OX XX O ,O,'0368'
 OX XX OO,X,'36'
 OX XXO  ,O,'0378'
 OX XXO O,X,'3'
 OX XXOO ,X,'38'
 OX XXOXO,O,'3'
 OXO    X,X,'04567'
 OXO   X ,X,'68'
 OXO   XX,O,'0456'
 OXO  OXX,X,'05'
 OXO  X  ,X,'4578'
 OXO  X X,O,'0457'
 OXO  XOX,X,'45'
 OXO  XX ,O,'0458'
 OXO  XXO,X,'4'
 OXO O XX,X,'46'
 OXO OX X,X,'47'
 OXO OXX ,X,'48'
 OXO X   ,X,'468'
 OXO X X ,O,'8'
 OXO X XO,X,'46'
 OXO XOX ,X,'8'
 OXO XX  ,O,'0478'
 OXO XX O,X,'4'
 OXO XXO ,X,'48'
 OXO XXXO,O,'4'
 OXOO  XX,X,'56'
 OXOO X X,X,'57'
 OXOO XX ,X,'8'
 OXOOX X ,X,'8'
 OXOOXX  ,X,'8'
 OXOOXXX ,O,'8'
 OXOOXXXO,X,'0'
 OXOX    ,X,'0568'
 OXOX   X,O,'0567'
 OXOX  OX,X,'056'
 OXOX  X ,O,'6'
 OXOX  XO,X,'6'
 OXOX O X,X,'05'
 OXOX OX ,X,'0'
 OXOX OXX,O,'0'
 OXOXO  X,X,'067'
 OXOXO X ,X,'068'
 OXOXO XX,O,'06'
 OXOXOOXX,X,'0'
 OXOXX   ,O,'0678'
 OXOXX  O,X,'6'
 OXOXX O ,X,'068'
 OXOXX XO,O,'6'
 OXOXXO  ,X,'8'
 OXOXXOX ,O,'0'
 OXOXXOXO,X,'0'
 OXX     ,O,'4'
 OXX    O,X,'46'
 OXX   O ,X,'4'
 OXX   OX,O,'4'
 OXX   XO,O,'4'
 OXX  O  ,X,'5'
 OXX  O X,O,'5'
 OXX  OOX,X,'45'
 OXX  OX ,O,'458'
 OXX  OXO,X,'45'
 OXX  X O,O,'0457'
 OXX  XO ,O,'4'
 OXX  XOO,X,'04'
 OXX O   ,X,'6'
 OXX O  X,O,'4'
 OXX O OX,X,'4'
 OXX O X ,O,'6'
 OXX O XO,X,'6'
 OXX OO X,X,'04'
 OXX OOX ,X,'048'
 OXX OOXX,O,'04'
 OXX OX  ,O,'0478'
 OXX OX O,X,'047'
 OXX OXO ,X,'04'
 OXX OXOX,O,'4'
 OXX OXXO,O,'04'
 OXX X  O,O,'4'
 OXX X O ,O,'4'
 OXX X OO,X,'4'
 OXX XO  ,O,'0478'
 OXX XO O,X,'4'
 OXX XOO ,X,'48'
 OXX XOXO,O,'4'
 OXX XXOO,O,'4'
 OXXO    ,X,'7'
 OXXO   X,O,'7'
 OXXO  X ,O,'8'
 OXXO  XO,X,'0'
 OXXO O X,X,'5'
 OXXO OX ,X,'58'
 OXXO OXX,O,'5'
 OXXO X  ,O,'07'
 OXXO X O,X,'0'
 OXXO XXO,O,'0'
 OXXOO  X,X,'7'
 OXXOO X ,X,'6'
 OXXOO XX,O,'6'
 OXXOOOXX,X,'0'
 OXXOOX  ,X,'07'
 OXXOOX X,O,'7'
 OXXOOXX ,O,'08'
 OXXOOXXO,X,'0'
 OXXOX   ,O,'78'
 OXXOX  O,X,'067'
 OXXOX XO,O,'0'
 OXXOXO  ,X,'8'
 OXXOXOX ,O,'8'
 OXXOXOXO,X,'0'
 OXXOXX O,O,'07'
 OXXX   O,O,'0567'
 OXXX  O ,O,'0568'
 OXXX  OO,X,'56'
 OXXX O  ,O,'5'
 OXXX O O,X,'5'
 OXXX OO ,X,'58'
 OXXX OOX,O,'05'
 OXXX OXO,O,'5'
 OXXXO   ,O,'6'
 OXXXO  O,X,'6'
 OXXXO O ,X,'068'
 OXXXO OX,O,'06'
 OXXXO XO,O,'6'
 OXXXOO  ,X,'08'
 OXXXOO X,O,'0'
 OXXXOOOX,X,'0'
 OXXXOOX ,O,'08'
 OXXXOOXO,X,'0'
 X       ,O,'02'
 X      O,X,'2'
 X     O ,X,'02'
 X     OX,O,'02'
 X     XO,O,'4'
 X    O  ,X,'0'
 X    O X,O,'0'
 X    OOX,X,'0235'
 X    OX ,O,'4'
 X    OXO,X,'024'
 X    X O,O,'2'
 X    XO ,O,'02'
 X    XOO,X,'0235'
 X   O   ,X,'24'
 X   O  X,O,'4'
 X   O OX,X,'0'
 X   O X ,O,'4'
 X   O XO,X,'24'
 X   OO X,X,'04'
 X   OOX ,X,'024'
 X   OOXX,O,'4'
 X   OX  ,O,'4'
 X   OX O,X,'2'
 X   OXO ,X,'02'
 X   OXOX,O,'4'
 X   OXXO,O,'24'
 X   X  O,O,'6'
 X   X O ,O,'02'
 X   X OO,X,'6'
 X   XO  ,O,'08'
 X   XO O,X,'02347'
 X   XOO ,X,'8'
 X   XOOX,O,'0234'
 X   XOXO,O,'4'
 X   XXOO,O,'0234'
 X  O    ,X,'02'
 X  O   X,O,'235'
 X  O  OX,X,'2'
 X  O  X ,O,'023568'
 X  O  XO,X,'02356'
 X  O O X,X,'2'
 X  O OX ,X,'02358'
 X  O OXX,O,'0235'
 X  O X  ,O,'035'
 X  O X O,X,'0'
 X  O XO ,X,'0'
 X  O XOX,O,'35'
 X  O XXO,O,'0235'
 X  OO  X,X,'3'
 X  OO X ,X,'02368'
 X  OO XX,O,'36'
 X  OOOXX,X,'023'
 X  OOX  ,X,'3'
 X  OOX X,O,'3'
 X  OOXOX,X,'3'
 X  OOXX ,O,'38'
 X  OOXXO,X,'023'
 X  OX   ,O,'028'
 X  OX  O,X,'0'
 X  OX O ,X,'2'
 X  OX OX,O,'2'
 X  OX XO,O,'026'
 X  OXO  ,X,'2'
 X  OXO X,O,'2'
 X  OXOOX,X,'2'
 X  OXOX ,O,'0238'
 X  OXOXO,X,'023'
 X  OXX O,O,'0'
 X  OXXO ,O,'0'
 X  OXXOO,X,'0'
 X  X   O,O,'7'
 X  X  O ,O,'68'
 X  X  OO,X,'6'
 X  X O  ,O,'7'
 X  X O O,X,'7'
 X  X OO ,X,'8'
 X  X OOX,O,'0'
 X  X XOO,O,'2'
 X  XO   ,O,'023678'
 X  XO  O,X,'27'
 X  XO O ,X,'02'
 X  XO OX,O,'0'
 X  XOO  ,X,'0278'
 X  XOO X,O,'0237'
 X  XOOOX,X,'0'
 X  XOX O,O,'2'
 X  XOXO ,O,'2'
 X  XOXOO,X,'2'
 X  XX OO,O,'6'
 X  XXO O,O,'7'
 X  XXOO ,O,'38'
 X O     ,X,'04'
 X O    X,O,'4'
 X O   OX,X,'02'
 X O   X ,O,'4'
 X O   XO,X,'024'
 X O  O X,X,'0'
 X O  OX ,X,'04'
 X O  OXX,O,'04'
 X O  X  ,O,'4'
 X O  X O,X,'24'
 X O  XO ,X,'2'
 X O  XOX,O,'4'
 X O  XXO,O,'4'
 X O O  X,X,'4'
 X O O X ,X,'4'
 X O O XX,O,'4'
 X O OOXX,X,'4'
 X O OX  ,X,'4'
 X O OX X,O,'4'
 X O OXOX,X,'4'
 X O OXX ,O,'4'
 X O OXXO,X,'4'
 X O X   ,O,'28'
 X O X  O,X,'047'
 X O X O ,X,'2'
 X O X OX,O,'2'
 X O X XO,O,'4'
 X O XO  ,X,'0'
 X O XO X,O,'02'
 X O XOOX,X,'02'
 X O XOX ,O,'04'
 X O XOXO,X,'04'
 X O XX O,O,'4'
 X O XXO ,O,'2'
 X O XXOO,X,'2'
 X OO   X,X,'5'
 X OO  X ,X,'02568'
 X OO  XX,O,'56'
 X OO OXX,X,'025'
 X OO X  ,X,'5'
 X OO X X,O,'5'
 X OO XOX,X,'5'
 X OO XX ,O,'58'
 X OO XXO,X,'025'
 X OOX   ,X,'2'
 X OOX  X,O,'2'
 X OOX OX,X,'2'
 X OOX X ,O,'06'
 X OOX XO,X,'0'
 X OOXO X,X,'2'
 X OOXOX ,X,'028'
 X OOXOXX,O,'02'
 X OOXX  ,O,'8'
 X OOXX O,X,'0'
 X OOXXO ,X,'2'
 X OOXXOX,O,'2'
 X OOXXXO,O,'0'
 X OX    ,O,'025678'
 X OX   O,X,'0267'
 X OX  O ,X,'02'
 X OX  OX,O,'0'
 X OX O  ,X,'07'
 X OX O X,O,'0'
 X OX OOX,X,'0'
 X OX X O,O,'0257'
 X OX XO ,O,'2'
 X OX XOO,X,'2'
 X OXO   ,X,'02678'
 X OXO  X,O,'0267'
 X OXO OX,X,'026'
 X OXOO X,X,'07'
 X OXOX  ,O,'0278'
 X OXOX O,X,'27'
 X OXOXO ,X,'028'
 X OXOXOX,O,'02'
 X OXX  O,O,'7'
 X OXX O ,O,'6'
 X OXX OO,X,'6'
 X OXXO  ,O,'07'
 X OXXO O,X,'7'
 X OXXOO ,X,'028'
 X OXXOOX,O,'0'
 X OXXXOO,O,'2'
 X X    O,O,'26'
 X X   O ,O,'02'
 X X   OO,X,'6'
 X X  O  ,O,'8'
 X X  O O,X,'02457'
 X X  OO ,X,'8'
 X X  OOX,O,'0245'
 X X  OXO,O,'4'
 X X  XOO,O,'0245'
 X X O   ,O,'06'
 X X O  O,X,'2'
 X X O O ,X,'0'
 X X O OX,O,'0'
 X X O XO,O,'24'
 X X OO  ,X,'247'
 X X OO X,O,'4'
 X X OOOX,X,'0'
 X X OOX ,O,'4'
 X X OOXO,X,'24'
 X X OX O,O,'02'
 X X OXO ,O,'0'
 X X OXOO,X,'02'
 X X X OO,O,'46'
 X X XO O,O,'47'
 X X XOO ,O,'48'
 X XO    ,O,'026'
 X XO   O,X,'0'
 X XO  O ,X,'0'
 X XO  OX,O,'2'
 X XO  XO,O,'0256'
 X XO O  ,X,'2'
 X XO O X,O,'2'
 X XO OOX,X,'2'
 X XO OX ,O,'028'
 X XO OXO,X,'025'
 X XO X O,O,'0'
 X XO XO ,O,'0'
 X XO XOO,X,'0'
 X XOO   ,X,'0'
 X XOO  X,O,'6'
 X XOO OX,X,'0'
 X XOO X ,O,'28'
 X XOO XO,X,'026'
 X XOOO X,X,'2'
 X XOOOX ,X,'2'
 X XOOOXX,O,'2'
 X XOOX  ,O,'0'
 X XOOX O,X,'0'
 X XOOXO ,X,'0'
 X XOOXOX,O,'0'
 X XOOXXO,O,'02'
 X XOX  O,O,'0267'
 X XOX O ,O,'68'
 X XOX OO,X,'026'
 X XOXO  ,O,'0278'
 X XOXO O,X,'027'
 X XOXOO ,X,'028'
 X XOXOOX,O,'2'
 X XOXOXO,O,'02'
 X XOXXOO,O,'0'
 X XX  OO,O,'56'
 X XX O O,O,'7'
 X XX OO ,O,'8'
 X XXO  O,O,'27'
 X XXO O ,O,'8'
 X XXO OO,X,'026'
 X XXOO  ,O,'7'
 X XXOO O,X,'7'
 X XXOOO ,X,'8'
 X XXOOOX,O,'0'
 X XXOXOO,O,'2'
 XO      ,X,'4'
 XO     X,O,'4'
 XO    OX,X,'04'
 XO    X ,O,'4'
 XO    XO,X,'4'
 XO   O X,X,'4'
 XO   OX ,X,'4'
 XO   OXX,O,'4'
 XO   X  ,O,'8'
 XO   X O,X,'5'
 XO   XO ,X,'03'
 XO   XOX,O,'034'
 XO   XXO,O,'45'
 XO  O  X,X,'3467'
 XO  O X ,X,'48'
 XO  O XX,O,'0346'
 XO  OOXX,X,'4'
 XO  OX  ,X,'8'
 XO  OX X,O,'0347'
 XO  OXOX,X,'0'
 XO  OXX ,O,'8'
 XO  X   ,O,'4'
 XO  X  O,X,'4'
 XO  X O ,X,'34'
 XO  X OX,O,'4'
 XO  X XO,O,'4'
 XO  XO  ,X,'4'
 XO  XO X,O,'034'
 XO  XOOX,X,'4'
 XO  XOX ,O,'4'
 XO  XOXO,X,'4'
 XO  XX O,O,'4'
 XO  XXO ,O,'034'
 XO  XXOO,X,'3'
 XO O   X,X,'6'
 XO O  X ,X,'03568'
 XO O  XX,O,'6'
 XO O X  ,X,'038'
 XO O X X,O,'7'
 XO O XOX,X,'03'
 XO O XX ,O,'8'
 XO O XXO,X,'035'
 XO OO XX,X,'6'
 XO OOX X,X,'37'
 XO OOXX ,X,'8'
 XO OX   ,X,'6'
 XO OX  X,O,'6'
 XO OX OX,X,'6'
 XO OX X ,O,'068'
 XO OX XO,X,'036'
 XO OXX  ,O,'08'
 XO OXX O,X,'0'
 XO OXXO ,X,'03'
 XO OXXOX,O,'03'
 XO OXXXO,O,'0'
 XO X    ,O,'7'
 XO X   O,X,'57'
 XO X  O ,X,'358'
 XO X  OX,O,'0'
 XO X O  ,X,'03578'
 XO X O X,O,'0357'
 XO X OOX,X,'035'
 XO X X O,O,'5'
 XO X XO ,O,'58'
 XO X XOO,X,'5'
 XO XO   ,X,'78'
 XO XO  X,O,'0367'
 XO XO OX,X,'0'
 XO XOO X,X,'037'
 XO XOX  ,O,'8'
 XO XOXO ,X,'8'
 XO XOXOX,O,'0'
 XO XX  O,O,'0367'
 XO XX O ,O,'3'
 XO XX OO,X,'3'
 XO XXO  ,O,'0378'
 XO XXO O,X,'37'
 XO XXOO ,X,'38'
 XO XXOOX,O,'03'
 XO XXXOO,O,'3'
 XOO    X,X,'47'
 XOO   X ,X,'468'
 XOO   XX,O,'0456'
 XOO  OXX,X,'4'
 XOO  X  ,X,'7'
 XOO  X X,O,'7'
 XOO  XOX,X,'04'
 XOO  XX ,O,'0458'
 XOO  XXO,X,'4'
 XOO O XX,X,'46'
 XOO OX X,X,'47'
 XOO OXX ,X,'48'
 XOO X   ,X,'47'
 XOO X  X,O,'6'
 XOO X OX,X,'04'
 XOO X X ,O,'4'
 XOO X XO,X,'4'
 XOO XO X,X,'047'
 XOO XOX ,X,'4'
 XOO XOXX,O,'04'
 XOO XX  ,O,'478'
 XOO XX O,X,'47'
 XOO XXO ,X,'048'
 XOO XXOX,O,'04'
 XOO XXXO,O,'4'
 XOOO  XX,X,'6'
 XOOO X X,X,'7'
 XOOO XX ,X,'8'
 XOOOX  X,X,'6'
 XOOOX X ,X,'6'
 XOOOX XX,O,'6'
 XOOOXX  ,X,'78'
 XOOOXX X,O,'7'
 XOOOXXOX,X,'0'
 XOOOXXX ,O,'8'
 XOOOXXXO,X,'0'
 XOOX    ,X,'078'
 XOOX   X,O,'0567'
 XOOX  OX,X,'0'
 XOOX O X,X,'07'
 XOOX X  ,O,'7'
 XOOX X O,X,'7'
 XOOX XO ,X,'08'
 XOOX XOX,O,'0'
 XOOXO  X,X,'067'
 XOOXOX  ,X,'78'
 XOOXOX X,O,'07'
 XOOXOXOX,X,'0'
 XOOXX   ,O,'7'
 XOOXX  O,X,'7'
 XOOXX O ,X,'08'
 XOOXX OX,O,'0'
 XOOXXO  ,X,'07'
 XOOXXO X,O,'0'
 XOOXXOOX,X,'0'
 XOOXXX O,O,'7'
 XOOXXXO ,O,'08'
 XOOXXXOO,X,'0'
 XOX     ,O,'8'
 XOX    O,X,'04567'
 XOX   O ,X,'456'
 XOX   OX,O,'4'
 XOX   XO,O,'45'
 XOX  O  ,X,'4'
 XOX  O X,O,'4'
 XOX  OOX,X,'4'
 XOX  OX ,O,'4'
 XOX  OXO,X,'4'
 XOX  X O,O,'05'
 XOX  XO ,O,'0'
 XOX  XOO,X,'05'
 XOX O   ,X,'8'
 XOX O  X,O,'0467'
 XOX O OX,X,'0'
 XOX O X ,O,'48'
 XOX OO X,X,'4'
 XOX OOX ,X,'4'
 XOX OOXX,O,'4'
 XOX OX  ,O,'8'
 XOX OXO ,X,'0'
 XOX OXOX,O,'0'
 XOX X  O,O,'4'
 XOX X O ,O,'4'
 XOX X OO,X,'46'
 XOX XO  ,O,'4'
 XOX XO O,X,'4'
 XOX XOO ,X,'4'
 XOX XOOX,O,'4'
 XOX XOXO,O,'4'
 XOX XXOO,O,'04'
 XOXO    ,X,'6'
 XOXO   X,O,'6'
 XOXO  OX,X,'6'
 XOXO  X ,O,'0568'
 XOXO  XO,X,'056'
 XOXO X  ,O,'0'
 XOXO X O,X,'0'
 XOXO XO ,X,'0'
 XOXO XOX,O,'0'
 XOXO XXO,O,'05'
 XOXOO  X,X,'6'
 XOXOO X ,X,'068'
 XOXOO XX,O,'6'
 XOXOOX  ,X,'08'
 XOXOOX X,O,'07'
 XOXOOXOX,X,'0'
 XOXOOXX ,O,'8'
 XOXOX   ,O,'068'
 XOXOX  O,X,'067'
 XOXOX O ,X,'6'
 XOXOX OX,O,'6'
 XOXOX XO,O,'06'
 XOXOXX O,O,'0'
 XOXOXXO ,O,'0'
 XOXOXXOO,X,'0'
 XOXX   O,O,'5'
 XOXX  O ,O,'5'
 XOXX  OO,X,'5'
 XOXX O  ,O,'0578'
 XOXX O O,X,'57'
 XOXX OO ,X,'58'
 XOXX OOX,O,'05'
 XOXX XOO,O,'5'
 XOXXO   ,O,'8'
 XOXXO O ,X,'8'
 XOXXO OX,O,'0'
 XOXXOO  ,X,'78'
 XOXXOO X,O,'07'
 XOXXOOOX,X,'0'
 XOXXOXO ,O,'8'
 XX     O,O,'034567'
 XX    O ,O,'0'
 XX    OO,X,'06'
 XX   O  ,O,'0'
 XX   O O,X,'07'
 XX   OO ,X,'08'
 XX   OOX,O,'0345'
 XX   OXO,O,'0345'
 XX   XOO,O,'0345'
 XX  O   ,O,'034678'
 XX  O  O,X,'03467'
 XX  O O ,X,'046'
 XX  O OX,O,'0'
 XX  O XO,O,'0346'
 XX  OO  ,X,'047'
 XX  OO X,O,'0'
 XX  OOOX,X,'0'
 XX  OOX ,O,'0348'
 XX  OOXO,X,'034'
 XX  OX O,O,'0347'
 XX  OXO ,O,'0348'
 XX  OXOO,X,'034'
 XX  X OO,O,'06'
 XX  XO O,O,'07'
 XX  XOO ,O,'8'
 XX O    ,O,'0'
 XX O   O,X,'0'
 XX O  O ,X,'058'
 XX O  OX,O,'0356'
 XX O  XO,O,'0'
 XX O O  ,X,'058'
 XX O O X,O,'0357'
 XX O OOX,X,'035'
 XX O OX ,O,'0'
 XX O OXO,X,'0'
 XX O X O,O,'0'
 XX O XO ,O,'0'
 XX O XOO,X,'0'
 XX OO   ,X,'0'
 XX OO  X,O,'3'
 XX OO OX,X,'0'
 XX OO X ,O,'03'
 XX OO XO,X,'0'
 XX OOO X,X,'0'
 XX OOOX ,X,'0'
 XX OOOXX,O,'3'
 XX OOX  ,O,'03'
 XX OOX O,X,'0'
 XX OOXO ,X,'0'
 XX OOXOX,O,'3'
 XX OOXXO,O,'03'
 XX OX  O,O,'0'
 XX OX O ,O,'0368'
 XX OX OO,X,'0'
 XX OXO  ,O,'0378'
 XX OXO O,X,'0'
 XX OXOO ,X,'08'
 XX OXOXO,O,'0'
 XX OXXOO,O,'0'
 XX X  OO,O,'6'
 XX X O O,O,'7'
 XX X OO ,O,'08'
 XX XO  O,O,'0367'
 XX XO O ,O,'0368'
 XX XO OO,X,'06'
 XX XOO  ,O,'0378'
 XX XOO O,X,'07'
 XX XOOO ,X,'0'
 XX XOOOX,O,'0'
 XXO     ,O,'0'
 XXO    O,X,'0467'
 XXO   O ,X,'04568'
 XXO   OX,O,'0456'
 XXO   XO,O,'0456'
 XXO  O  ,X,'0'
 XXO  O X,O,'0'
 XXO  OOX,X,'05'
 XXO  OX ,O,'0'
 XXO  OXO,X,'04'
 XXO  X O,O,'0457'
 XXO  XO ,O,'0458'
 XXO  XOO,X,'045'
 XXO O   ,X,'04'
 XXO O  X,O,'04'
 XXO O OX,X,'04'
 XXO O X ,O,'4'
 XXO O XO,X,'04'
 XXO OO X,X,'0'
 XXO OOX ,X,'04'
 XXO OOXX,O,'04'
 XXO OX  ,O,'4'
 XXO OX O,X,'04'
 XXO OXO ,X,'04'
 XXO OXOX,O,'4'
 XXO OXXO,O,'4'
 XXO X  O,O,'0'
 XXO X O ,O,'0468'
 XXO X OO,X,'06'
 XXO XO  ,O,'0'
 XXO XO O,X,'0'
 XXO XOO ,X,'08'
 XXO XOXO,O,'0'
 XXO XXOO,O,'04'
 XXOO    ,X,'05'
 XXOO   X,O,'5'
 XXOO  OX,X,'05'
 XXOO  X ,O,'05'
 XXOO  XO,X,'0'
 XXOO O X,X,'05'
 XXOO OX ,X,'0'
 XXOO OXX,O,'05'
 XXOO X  ,O,'05'
 XXOO X O,X,'0'
 XXOO XO ,X,'05'
 XXOO XOX,O,'5'
 XXOO XXO,O,'05'
 XXOOX   ,O,'0678'
 XXOOX  O,X,'0'
 XXOOX O ,X,'068'
 XXOOX XO,O,'0'
 XXOOXO  ,X,'08'
 XXOOXOX ,O,'0'
 XXOOXOXO,X,'0'
 XXOOXX O,O,'0'
 XXOOXXO ,O,'08'
 XXOOXXOO,X,'0'
 XXOX   O,O,'0567'
 XXOX  O ,O,'0568'
 XXOX  OO,X,'06'
 XXOX O  ,O,'0'
 XXOX O O,X,'07'
 XXOX OO ,X,'0'
 XXOX OOX,O,'0'
 XXOXO   ,O,'0678'
 XXOXO  O,X,'067'
 XXOXO O ,X,'068'
 XXOXO OX,O,'06'
 XXOXOO  ,X,'07'
 XXOXOO X,O,'0'
 XXOXOOOX,X,'0'
 XXOXX OO,O,'6'
 XXOXXO O,O,'07'
 XXOXXOO ,O,'08'
 XXX   OO,O,'06'
 XXX  O O,O,'07'
 XXX  OO ,O,'8'
 XXX O  O,O,'0467'
 XXX O O ,O,'0'
 XXX O OO,X,'06'
 XXX OO  ,O,'0'
 XXX OO O,X,'07'
 XXX OOO ,X,'0'
 XXX OOOX,O,'0'
 XXX OOXO,O,'04'
 XXX OXOO,O,'04'
 XXXO   O,O,'0'
 XXXO  O ,O,'0'
 XXXO  OO,X,'0'
 XXXO O  ,O,'0'
 XXXO O O,X,'0'
 XXXO OO ,X,'08'
 XXXO OOX,O,'05'
 XXXO OXO,O,'0'
 XXXO XOO,O,'0'
 XXXOO   ,O,'0'
 XXXOO  O,X,'0'
 XXXOO O ,X,'0'
 XXXOO OX,O,'0'
 XXXOO XO,O,'0'
 XXXOOO  ,X,'0'
 XXXOOO X,O,'0'
 XXXOOOOX,X,'0'
 XXXOOOX ,O,'0'
 XXXOOOXO,X,'0'
 XXXOOX O,O,'0'
 XXXOOXO ,O,'0'
 XXXOOXOO,X,'0'
 XXXOX OO,O,'06'
 XXXOXO O,O,'07'
 XXXOXOO ,O,'8'
 XXXXO OO,O,'6'
 XXXXOO O,O,'7'
 XXXXOOO ,O,'8'
O       X,X,'26'
O      X ,X,'6'
O      XX,O,'6'
O     OXX,X,'12345'
O     X  ,X,'278'
O     X X,O,'123457'
O     XOX,X,'2'
O     XX ,O,'123458'
O     XXO,X,'4'
O    O XX,X,'146'
O    OX X,X,'247'
O    OXX ,X,'1248'
O    X   ,X,'2'
O    X  X,O,'2'
O    X OX,X,'234'
O    X X ,O,'26'
O    X XO,X,'4'
O    XO X,X,'23'
O    XOX ,X,'12348'
O    XOXX,O,'23'
O    XX  ,O,'2'
O    XX O,X,'4'
O    XXO ,X,'24'
O    XXOX,O,'2'
O    XXXO,O,'124'
O   O  XX,X,'256'
O   O X X,X,'257'
O   O XX ,X,'8'
O   OX  X,X,'267'
O   OX X ,X,'8'
O   OX XX,O,'1236'
O   OXOXX,X,'2'
O   OXX  ,X,'8'
O   OXX X,O,'1237'
O   OXXOX,X,'2'
O   OXXX ,O,'8'
O   X    ,X,'123567'
O   X   X,O,'26'
O   X  OX,X,'25'
O   X  X ,O,'1'
O   X  XO,X,'12356'
O   X O X,X,'3'
O   X OX ,X,'13'
O   X OXX,O,'13'
O   X X  ,O,'2'
O   X X O,X,'12357'
O   X XO ,X,'235'
O   X XOX,O,'2'
O   X XXO,O,'1235'
O   XO  X,X,'67'
O   XO X ,X,'1268'
O   XO XX,O,'1236'
O   XOOXX,X,'1'
O   XOX  ,X,'1278'
O   XOX X,O,'1237'
O   XOXOX,X,'2'
O   XOXX ,O,'1238'
O   XOXXO,X,'12'
O   XX   ,O,'3'
O   XX  O,X,'12367'
O   XX O ,X,'2368'
O   XX OX,O,'1236'
O   XX XO,O,'1236'
O   XXO  ,X,'3'
O   XXO X,O,'3'
O   XXOOX,X,'23'
O   XXOX ,O,'3'
O   XXOXO,X,'13'
O   XXX O,O,'1237'
O   XXXO ,O,'1238'
O   XXXOO,X,'123'
O  O   XX,X,'6'
O  O  X X,X,'12457'
O  O  XX ,X,'12458'
O  O X  X,X,'26'
O  O X X ,X,'6'
O  O X XX,O,'6'
O  O XX  ,X,'1278'
O  O XX X,O,'1247'
O  O XXOX,X,'2'
O  O XXX ,O,'1248'
O  O XXXO,X,'4'
O  OOX XX,X,'26'
O  OOXX X,X,'127'
O  OOXXX ,X,'8'
O  OX   X,X,'6'
O  OX  X ,X,'16'
O  OX  XX,O,'6'
O  OX X  ,X,'1278'
O  OX X X,O,'1257'
O  OX XOX,X,'2'
O  OX XX ,O,'1258'
O  OX XXO,X,'125'
O  OXO XX,X,'16'
O  OXOX X,X,'127'
O  OXOXX ,X,'128'
O  OXX   ,X,'6'
O  OXX  X,O,'26'
O  OXX OX,X,'2'
O  OXX X ,O,'16'
O  OXX XO,X,'16'
O  OXXX  ,O,'2'
O  OXXX O,X,'127'
O  OXXXO ,X,'2'
O  OXXXOX,O,'2'
O  OXXXXO,O,'12'
O  X     ,X,'4'
O  X    X,O,'2'
O  X   OX,X,'5'
O  X   X ,O,'2'
O  X   XO,X,'4'
O  X  O X,X,'5'
O  X  OX ,X,'4'
O  X  OXX,O,'2'
O  X  X  ,O,'12'
O  X  X O,X,'4'
O  X  XO ,X,'4'
O  X  XOX,O,'1'
O  X  XXO,O,'1245'
O  X O  X,X,'67'
O  X O X ,X,'148'
O  X O XX,O,'6'
O  X OOXX,X,'14'
O  X OX  ,X,'28'
O  X OX X,O,'7'
O  X OXOX,X,'24'
O  X OXX ,O,'8'
O  X OXXO,X,'124'
O  X X   ,O,'4'
O  X X  O,X,'4'
O  X X O ,X,'248'
O  X X OX,O,'1246'
O  X X XO,O,'4'
O  X XO  ,X,'248'
O  X XO X,O,'1247'
O  X XOOX,X,'124'
O  X XOX ,O,'4'
O  X XOXO,X,'4'
O  X XX O,O,'4'
O  X XXO ,O,'4'
O  X XXOO,X,'4'
O  XO   X,X,'267'
O  XO  X ,X,'8'
O  XO  XX,O,'6'
O  XO OXX,X,'2'
O  XO X  ,X,'8'
O  XO X X,O,'7'
O  XO XOX,X,'1'
O  XO XX ,O,'8'
O  XOO XX,X,'6'
O  XOOX X,X,'7'
O  XOOXX ,X,'8'
O  XOX   ,X,'12678'
O  XOX  X,O,'2'
O  XOX OX,X,'2'
O  XOX X ,O,'1268'
O  XOXO X,X,'2'
O  XOXOX ,X,'128'
O  XOXOXX,O,'2'
O  XOXX  ,O,'1278'
O  XOXXO ,X,'128'
O  XOXXOX,O,'1'
O  XX    ,O,'5'
O  XX   O,X,'12567'
O  XX  O ,X,'256'
O  XX  OX,O,'5'
O  XX  XO,O,'1256'
O  XX O  ,X,'157'
O  XX O X,O,'5'
O  XX OOX,X,'5'
O  XX OX ,O,'1258'
O  XX OXO,X,'125'
O  XX X O,O,'1257'
O  XX XO ,O,'1258'
