board_state,player_turn,best_move_index
   XXO XO,O,'2'
   XXOO  ,X,'178'
   XXOO X,O,'0'
   XXOOOX,X,'0'
   XXOOX ,O,'1'
   XXOOXO,X,'1'
   XXOX O,O,'2'
   XXOXO ,O,'0128'
   XXOXOO,X,'02'
  O     X,X,'067'
  O    X ,X,'8'
  O    XX,O,'013456'
  O   OXX,X,'4'
  O   X  ,X,'08'
  O   X X,O,'013457'
  O   XOX,X,'0'
  O   XX ,O,'8'
  O   XXO,X,'01345'
  O  O XX,X,'01346'
  O  OX X,X,'01347'
  O  OXX ,X,'8'
  O  X   ,X,'4'
  O  X  X,O,'01'
  O  X OX,X,'4'
  O  X X ,O,'0'
  O  X XO,X,'4'
  O  XO X,X,'4'
  O  XOX ,X,'4'
  O  XOXX,O,'0134'
  O  XX  ,O,'0'
  O  XX O,X,'3'
  O  XXO ,X,'3'
  O  XXOX,O,'1'
  O  XXXO,O,'0'
  O O  XX,X,'6'
  O O X X,X,'037'
  O O XX ,X,'038'
  O OX  X,X,'6'
  O OX X ,X,'6'
  O OX XX,O,'6'
  O OXX  ,X,'078'
  O OXX X,O,'7'
  O OXXOX,X,'1'
  O OXXX ,O,'8'
  O OXXXO,X,'0'
  O X    ,X,'013578'
  O X   X,O,'0'
  O X  OX,X,'035'
  O X  X ,O,'1'
  O X  XO,X,'15'
  O X O X,X,'01357'
  O X OX ,X,'01358'
  O X OXX,O,'0135'
  O X X  ,O,'08'
  O X X O,X,'5'
  O X XO ,X,'03'
  O X XOX,O,'0'
  O X XXO,O,'15'
  O XO  X,X,'0167'
  O XO X ,X,'18'
  O XO XX,O,'0136'
  O XOOXX,X,'013'
  O XOX  ,X,'8'
  O XOX X,O,'0137'
  O XOXOX,X,'0'
  O XOXX ,O,'8'
  O XX   ,O,'3'
  O XX  O,X,'137'
  O XX O ,X,'038'
  O XX OX,O,'0136'
  O XX XO,O,'0136'
  O XXO  ,X,'01378'
  O XXO X,O,'0137'
  O XXOOX,X,'013'
  O XXOX ,O,'0138'
  O XXOXO,X,'013'
  O XXX O,O,'3'
  O XXXO ,O,'3'
  O XXXOO,X,'3'
  OO   XX,X,'0146'
  OO  X X,X,'047'
  OO  XX ,X,'148'
  OO X  X,X,'06'
  OO X X ,X,'146'
  OO X XX,O,'6'
  OO XOXX,X,'014'
  OO XX  ,X,'78'
  OO XX X,O,'7'
  OO XXOX,X,'04'
  OO XXX ,O,'8'
  OO XXXO,X,'14'
  OOOX XX,X,'6'
  OOOXX X,X,'7'
  OOOXXX ,X,'8'
  OOX   X,X,'0167'
  OOX  X ,X,'0168'
  OOX  XX,O,'0156'
  OOX OXX,X,'01'
  OOX X  ,X,'78'
  OOX X X,O,'0157'
  OOX XOX,X,'0'
  OOX XX ,O,'0158'
  OOX XXO,X,'1'
  OOXO XX,X,'016'
  OOXOX X,X,'017'
  OOXOXX ,X,'18'
  OOXX   ,X,'017'
  OOXX  X,O,'0'
  OOXX OX,X,'0'
  OOXX X ,O,'1'
  OOXX XO,X,'1'
  OOXXO X,X,'0'
  OOXXOX ,X,'01'
  OOXXOXX,O,'0'
  OOXXX  ,O,'01'
  OOXXX O,X,'17'
  OOXXXO ,X,'08'
  OOXXXOX,O,'0'
  OOXXXXO,O,'1'
  OX     ,X,'0'
  OX    X,O,'0'
  OX   OX,X,'04'
  OX   X ,O,'08'
  OX   XO,X,'01456'
  OX  O X,X,'4'
  OX  OX ,X,'4'
  OX  OXX,O,'014'
  OX  X  ,O,'0'
  OX  X O,X,'05'
  OX  XO ,X,'045'
  OX  XOX,O,'0'
  OX  XXO,O,'05'
  OX O  X,X,'0167'
  OX O X ,X,'8'
  OX O XX,O,'0146'
  OX OOXX,X,'4'
  OX OX  ,X,'08'
  OX OX X,O,'0147'
  OX OXOX,X,'0'
  OX OXX ,O,'8'
  OX X   ,O,'4'
  OX X  O,X,'046'
  OX X O ,X,'046'
  OX X OX,O,'4'
  OX X XO,O,'4'
  OX XO  ,X,'4'
  OX XO X,O,'4'
  OX XOOX,X,'4'
  OX XOX ,O,'4'
  OX XOXO,X,'4'
  OX XX O,O,'0147'
  OX XXO ,O,'0148'
  OX XXOO,X,'014'
  OXO   X,X,'6'
  OXO  X ,X,'6'
  OXO  XX,O,'6'
  OXO X  ,X,'078'
  OXO X X,O,'0157'
  OXO XOX,X,'0'
  OXO XX ,O,'0158'
  OXO XXO,X,'0'
  OXOO XX,X,'6'
  OXOOX X,X,'017'
  OXOOXX ,X,'08'
  OXOX   ,X,'01678'
  OXOX  X,O,'0167'
  OXOX OX,X,'016'
  OXOX X ,O,'0168'
  OXOX XO,X,'016'
  OXOXX  ,O,'0'
  OXOXX O,X,'0'
  OXOXXO ,X,'0'
  OXOXXOX,O,'1'
  OXOXXXO,O,'0'
  OXX    ,O,'5'
  OXX   O,X,'5'
  OXX  O ,X,'0568'
  OXX  OX,O,'0156'
  OXX  XO,O,'5'
  OXX O  ,X,'01578'
  OXX O X,O,'0157'
  OXX OOX,X,'015'
  OXX OX ,O,'0158'
  OXX OXO,X,'15'
  OXX X O,O,'5'
  OXX XO ,O,'0158'
  OXX XOO,X,'05'
  OXXO   ,X,'8'
  OXXO  X,O,'0'
  OXXO OX,X,'0'
  OXXO X ,O,'18'
  OXXOO X,X,'017'
  OXXOOX ,X,'18'
  OXXOOXX,O,'01'
  OXXOX  ,O,'08'
  OXXOXO ,X,'0'
  OXXOXOX,O,'0'
  X      ,O,'4'
  X     O,X,'016'
  X    O ,X,'048'
  X    OX,O,'013456'
  X    XO,O,'4'
  X   O  ,X,'08'
  X   O X,O,'013457'
  X   OOX,X,'01345'
  X   OX ,O,'0'
  X   OXO,X,'1'
  X   X O,O,'013457'
  X   XO ,O,'4'
  X   XOO,X,'0134'
  X  O   ,X,'014'
  X  O  X,O,'4'
  X  O OX,X,'04'
  X  O X ,O,'4'
  X  O XO,X,'0134'
  X  OO X,X,'0'
  X  OOX ,X,'1'
  X  OOXX,O,'3'
  X  OX  ,O,'4'
  X  OX O,X,'0134'
  X  OXO ,X,'0134'
  X  OXOX,O,'4'
  X  OXXO,O,'4'
  X  X  O,O,'67'
  X  X O ,O,'8'
  X  X OO,X,'01346'
  X  XO  ,O,'8'
  X  XO O,X,'01347'
  X  XOO ,X,'8'
  X  XOXO,O,'0'
  X  XXOO,O,'4'
  X O    ,X,'0158'
  X O   X,O,'5'
  X O  OX,X,'15'
  X O  X ,O,'358'
  X O  XO,X,'0'
  X O O X,X,'015'
  X O OX ,X,'058'
  X O OXX,O,'5'
  X O X  ,O,'1357'
  X O X O,X,'0'
  X O XO ,X,'1'
  X O XOX,O,'15'
  X O XXO,O,'035'
  X OO  X,X,'3'
